iter	Passed	Remaining
0	234	117092
1	400	99682
2	558	92602
3	711	88232
4	870	86163
5	1022	84226
6	1173	82621
7	1340	82466
8	1536	83824
9	1713	83967
10	1884	83756
11	2090	85014
12	2265	84872
13	2462	85476
14	2626	84935
15	2782	84172
16	2937	83461
17	3090	82756
18	3244	82126
19	3393	81440
20	3542	80805
21	3691	80200
22	3843	79701
23	4002	79388
24	4155	78963
25	4297	78338
26	4444	77867
27	4603	77608
28	4752	77180
29	4904	76840
30	5056	76505
31	5221	76365
32	5381	76159
33	5537	75892
34	5686	75552
35	5818	74998
36	5954	74507
37	6096	74123
38	6238	73746
39	6381	73382
40	6519	72989
41	6663	72660
42	6801	72282
43	6943	71956
44	7089	71685
45	7232	71378
46	7377	71101
47	7531	70917
48	7679	70678
49	7820	70383
50	7962	70103
51	8097	69762
52	8233	69445
53	8371	69143
54	8518	68920
55	8670	68745
56	8809	68470
57	8946	68180
58	9082	67888
59	9232	67704
60	9376	67483
61	9514	67214
62	9682	67163
63	9844	67063
64	9997	66904
65	10222	67218
66	10364	66979
67	10503	66729
68	10646	66500
69	10790	66285
70	10930	66042
71	11070	65809
72	11212	65588
73	11363	65417
74	11523	65300
75	11663	65069
76	11824	64955
77	12010	64982
78	12136	64674
79	12290	64525
80	12434	64319
81	12579	64124
82	12747	64045
83	12938	64075
84	13087	63895
85	13241	63744
86	13397	63599
87	13572	63544
88	13733	63421
89	13893	63291
90	14041	63111
91	14190	62932
92	14355	62822
93	14529	62754
94	14680	62584
95	14849	62490
96	15042	62495
97	15194	62329
98	15343	62150
99	15494	61978
100	15644	61803
101	15811	61694
102	16092	62026
103	16296	62051
104	16486	62022
105	16648	61882
106	16800	61706
107	16938	61480
108	17080	61269
109	17247	61150
110	17461	61194
111	17625	61061
112	17800	60964
113	17975	60864
114	18166	60819
115	18346	60732
116	18510	60592
117	18692	60512
118	18834	60301
119	18991	60139
120	19196	60126
121	19362	59991
122	19542	59899
123	19789	60007
124	19943	59831
125	20148	59804
126	20353	59777
127	20588	59835
128	20773	59744
129	20931	59575
130	21096	59424
131	21252	59250
132	21409	59078
133	21558	58884
134	21729	58751
135	21891	58593
136	22057	58445
137	22211	58265
138	22372	58104
139	22592	58095
140	22739	57896
141	22912	57764
142	23109	57693
143	23243	57463
144	23375	57230
145	23518	57023
146	23657	56810
147	23822	56659
148	24004	56548
149	24160	56375
150	24302	56168
151	24450	55977
152	24607	55808
153	24744	55593
154	24890	55401
155	25082	55311
156	25261	55188
157	25442	55070
158	25623	54953
159	25770	54761
160	25907	54550
161	26058	54368
162	26196	54161
163	26350	53987
164	26524	53852
165	26691	53704
166	26861	53563
167	27027	53411
168	27177	53229
169	27352	53095
170	27501	52911
171	27641	52711
172	27796	52541
173	27951	52368
174	28115	52215
175	28271	52044
176	28397	51822
177	28544	51636
178	28703	51473
179	28880	51342
180	29036	51174
181	29207	51032
182	29371	50879
183	29522	50701
184	29683	50541
185	29860	50409
186	30044	50287
187	30200	50119
188	30339	49923
189	30505	49771
190	30695	49659
191	30845	49481
192	31040	49375
193	31216	49238
194	31450	49191
195	31643	49080
196	31813	48930
197	31975	48770
198	32152	48633
199	32343	48514
200	32539	48404
201	32704	48246
202	32855	48068
203	33152	48103
204	33338	47974
205	33486	47791
206	33641	47617
207	33794	47442
208	33937	47253
209	34077	47059
210	34257	46921
211	34394	46724
212	34537	46536
213	34685	46355
214	34832	46173
215	35000	46019
216	35204	45912
217	35349	45726
218	35570	45640
219	35738	45484
220	35954	45390
221	36105	45213
222	36288	45075
223	36479	44947
224	36644	44787
225	36812	44631
226	36951	44439
227	37118	44281
228	37282	44119
229	37521	44046
230	37713	43917
231	37925	43809
232	38119	43681
233	38303	43541
234	38471	43382
235	38625	43207
236	38781	43035
237	38932	42858
238	39117	42718
239	39274	42547
240	39420	42364
241	39553	42168
242	39723	42011
243	39904	41867
244	40056	41691
245	40201	41508
246	40355	41335
247	40513	41166
248	40643	40969
249	40784	40784
250	40923	40597
251	41060	40408
252	41199	40222
253	41368	40065
254	41516	39888
255	41661	39708
256	41820	39542
257	41984	39380
258	42162	39232
259	42325	39069
260	42489	38907
261	42649	38742
262	42798	38567
263	42944	38389
264	43080	38203
265	43214	38015
266	43353	37833
267	43515	37670
268	43657	37490
269	43836	37341
270	43992	37174
271	44129	36990
272	44271	36811
273	44423	36641
274	44623	36510
275	44768	36334
276	44938	36177
277	45100	36015
278	45239	35835
279	45398	35670
280	45550	35499
281	45703	35330
282	45889	35187
283	46078	35045
284	46251	34891
285	46425	34737
286	46586	34574
287	46764	34424
288	46902	34243
289	47045	34067
290	47192	33894
291	47342	33723
292	47488	33549
293	47645	33384
294	47790	33210
295	47932	33034
296	48083	32865
297	48247	32704
298	48390	32529
299	48526	32350
300	48671	32177
301	48809	32000
302	48951	31826
303	49099	31656
304	49244	31484
305	49402	31320
306	49545	31147
307	49679	30969
308	49830	30801
309	49971	30627
310	50114	30455
311	50252	30280
312	50395	30108
313	50533	29933
314	50675	29761
315	50812	29586
316	50950	29412
317	51086	29238
318	51223	29064
319	51367	28894
320	51513	28725
321	51648	28550
322	51782	28376
323	51925	28206
324	52061	28032
325	52200	27861
326	52353	27697
327	52496	27528
328	52632	27356
329	52763	27181
330	52895	27006
331	53027	26833
332	53166	26663
333	53303	26492
334	53444	26323
335	53577	26150
336	53721	25984
337	53853	25811
338	53990	25641
339	54125	25471
340	54259	25299
341	54392	25128
342	54526	24958
343	54652	24784
344	54777	24610
345	54907	24438
346	55056	24275
347	55197	24109
348	55345	23945
349	55478	23776
350	55616	23609
351	55750	23440
352	55883	23271
353	56023	23105
354	56199	22954
355	56369	22801
356	56502	22632
357	56634	22463
358	56769	22296
359	56901	22128
360	57038	21962
361	57168	21793
362	57302	21626
363	57446	21463
364	57576	21295
365	57714	21130
366	57850	20964
367	57980	20797
368	58109	20629
369	58239	20462
370	58373	20296
371	58503	20130
372	58632	19963
373	58775	19801
374	58922	19640
375	59059	19477
376	59194	19312
377	59329	19148
378	59474	18988
379	59615	18826
380	59759	18665
381	59909	18506
382	60094	18357
383	60259	18203
384	60399	18041
385	60538	17879
386	60679	17717
387	60829	17558
388	61003	17407
389	61138	17244
390	61290	17086
391	61432	16925
392	61565	16762
393	61704	16600
394	61857	16443
395	61998	16282
396	62137	16121
397	62273	15959
398	62415	15799
399	62568	15642
400	62715	15483
401	62883	15329
402	63036	15172
403	63176	15012
404	63303	14849
405	63459	14692
406	63610	14534
407	63754	14376
408	63907	14219
409	64053	14060
410	64218	13906
411	64353	13745
412	64511	13589
413	64655	13430
414	64827	13277
415	64992	13123
416	65145	12966
417	65295	12809
418	65453	12653
419	65590	12493
420	65729	12333
421	65883	12177
422	66036	12020
423	66172	11861
424	66312	11702
425	66505	11552
426	66676	11398
427	66844	11244
428	67018	11091
429	67209	10941
430	67373	10786
431	67533	10630
432	67707	10476
433	67884	10323
434	68035	10166
435	68189	10009
436	68342	9852
437	68509	9697
438	68662	9540
439	68833	9386
440	68993	9230
441	69136	9072
442	69324	8919
443	69477	8762
444	69634	8606
445	69789	8449
446	69936	8292
447	70111	8137
448	70278	7982
449	70484	7831
450	70669	7678
451	70811	7519
452	70971	7363
453	71129	7206
454	71280	7049
455	71462	6895
456	71619	6738
457	71773	6581
458	71930	6425
459	72133	6272
460	72292	6115
461	72468	5960
462	72628	5803
463	72774	5646
464	72928	5489
465	73089	5332
466	73241	5175
467	73433	5021
468	73583	4863
469	73763	4708
470	73934	4552
471	74093	4395
472	74247	4238
473	74415	4081
474	74581	3925
475	74753	3769
476	74919	3612
477	75094	3456
478	75253	3299
479	75446	3143
480	75628	2987
481	75792	2830
482	75945	2673
483	76107	2515
484	76294	2359
485	76444	2202
486	76595	2044
487	76748	1887
488	76947	1730
489	77110	1573
490	77266	1416
491	77418	1258
492	77564	1101
493	77718	943
494	77860	786
495	78036	629
496	78196	472
497	78341	314
498	78530	157
499	78711	0
